district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page
RAIGAD,PANVEL,35584.0,2904.3,884.7,30.5,safe,211
RAIGAD,POLADPUR,11559.0,871.8,134.0,15.4,safe,211
RAIGAD,ROHA,40981.0,4455.0,460.4,10.3,safe,211
RAIGAD,SUDHAGAD,25712.0,2515.5,281.1,11.2,safe,211
RAIGAD,TALA,8194.0,673.9,254.6,37.8,safe,211
RAIGAD,URAN,17106.0,1760.5,161.3,9.2,safe,211
RAIGAD,SHRIWARDHAN,12528.0,1100.4,462.1,42.0,safe,211
RAIGAD,PEN,22164.0,2386.9,247.7,10.4,safe,211
RAIGAD,MURUD,12589.0,1267.7,297.4,23.5,safe,211
RATNAGIRI,CHIPLUN,79261.0,5960.7,727.6,12.2,safe,211
RATNAGIRI,DAPOLI,40731.0,3223.7,847.4,26.3,safe,211
RATNAGIRI,GUHAGAR,57545.0,3930.6,1172.3,29.8,safe,211
RATNAGIRI,KHED,73065.0,5430.6,649.6,12.0,safe,211
RATNAGIRI,LANJA,42631.0,3351.6,478.6,14.3,safe,211
RATNAGIRI,MANDANGAD,26680.0,1991.9,291.2,14.6,safe,211
RATNAGIRI,RAJAPUR,76472.0,6362.6,904.9,14.2,safe,211
RATNAGIRI,RATNAGIRI,50541.0,3693.4,1087.3,29.4,safe,211
RATNAGIRI,SANGAMESHWAR,64381.0,4781.5,541.0,11.3,safe,211
SANGLI,ATPADI,84923.0,12125.6,6788.5,56.0,safe,211
SANGLI,JAT,224761.0,25870.7,16514.3,63.8,safe,212
SANGLI,KADEGAON,56982.0,13500.2,7770.1,57.6,safe,212
SANGLI,,74953.0,11298.6,8769.5,77.6,semi_critical,212
SANGLI,KHANAPUR,50917.8,12308.5,4019.0,32.7,safe,212
SANGLI,MIRAJ,95038.0,16297.6,9147.5,56.1,safe,212
SANGLI,PALUS,31212.0,7409.9,2862.3,38.6,safe,212
SANGLI,SHIRALA,58734.3,6692.5,2170.7,32.4,safe,212
SANGLI,WALWA,75922.0,9249.6,4814.9,52.1,safe,212
SANGLI,TASGAON,89315.2,16514.7,8274.8,50.1,safe,212
SATARA,JAOLI,55215.0,4198.7,1028.0,24.5,safe,212
SATARA,KARAD,88323.0,11928.4,7552.9,63.3,safe,212
SATARA,KHANDALA,45551.0,4797.3,2966.5,61.8,safe,212
