district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page,assessment_unit_id,matched_taluka_in_db,match_score,status
AURANGABAD,KHULDABAD,43724.0,5606.5,4019.7,71.7,semi_critical,201,e26bc0de-2f9e-4c71-bc9c-b0b088db3f07,KHULDABAD,1.0,matched
AURANGABAD,PAITHAN,149988.0,17885.3,12809.6,71.6,semi_critical,201,71fd0335-aa0a-4972-9c97-bd66d04ccd92,PAITHAN,1.0,matched
AURANGABAD,SILLOD,117696.0,12808.3,9116.2,71.2,semi_critical,202,40abc8d0-2c41-426b-82f8-9bd0758247f7,SILLOD,1.0,matched
AURANGABAD,SOYEGAON,60928.0,4865.9,3087.3,63.4,safe,202,af5195f4-a209-4817-b0f8-815633b77407,SOEGAON,0.933,matched
AURANGABAD,VAIJAPUR,134366.0,14931.6,11615.9,77.8,semi_critical,202,3cbb772f-0858-4398-b4c5-b32d221763cb,VAIJAPUR,1.0,matched
BEED,AMBEJOGAI,89860.0,10068.0,5388.1,53.5,safe,202,fc252305-1e53-4230-bd57-1837afd6c228,AMBEJOGAI,1.0,matched
BEED,ASHTI,143644.0,16275.7,10301.3,63.3,safe,202,5cad81ae-9b7b-42b5-973e-3e8615d960cd,ASHTI,1.0,matched
BEED,BEED,134779.0,15226.3,9767.1,64.1,safe,202,830d2430-e34f-44de-8207-09cdd462fead,BEED,1.0,matched
BEED,DHARUR,23576.0,2852.9,1545.3,54.2,safe,202,3d3a7bd6-ff60-44e4-955f-1cb959a848b2,DHARUR,1.0,matched
BEED,GEVRAI,147921.0,17533.4,11894.7,67.8,safe,202,fe65361f-cae1-4061-bb8f-49d69e06163b,GEORAI,1.0,matched
BEED,KAIJ,132030.0,14161.6,9049.4,63.9,safe,202,ffe75d9a-1a9a-4d4b-8c58-0b9104bc5969,KAIJ,1.0,matched
BEED,MAJALGAON,92096.0,11737.5,6548.9,55.8,safe,202,a2249d32-7810-41ba-8e60-315ee0b6c6a9,MANJLEGAON,1.0,matched
BEED,PARLI,63526.0,11301.1,4268.6,37.8,safe,202,3bec4fb4-8f38-4555-898c-9c07f5c620e3,PARLI,1.0,matched
BEED,PATODA,72377.0,8424.3,5685.4,67.5,safe,202,e4cf6503-95bc-490d-ae86-6ee547ad74e6,PATODA,1.0,matched
BEED,SHIRUR KA,61407.0,6883.4,4103.7,59.6,safe,202,4e4f19a7-30ac-48b4-a63b-fe0130bd2fdd,SHIRUR-KASAR,0.857,review
BEED,WADVANI,73989.0,9041.0,4592.3,50.8,safe,202,5d7344e0-9b1b-4b30-958f-00d2bd929c1e,WADWANI,1.0,matched
BHANDARA,BHANDARA,63776.0,8289.4,3529.1,42.6,safe,202,,no taluka candidate above cutoff,0.0,unmatched
BHANDARA,LAKHANDUR,45038.0,36831.0,3182.2,8.6,safe,202,d827836e-f2d6-49e3-b750-c9e7ce56fa18,LAKHANI,0.75,review
BHANDARA,LAKHANI,46600.0,5816.2,3181.0,54.7,safe,202,d827836e-f2d6-49e3-b750-c9e7ce56fa18,LAKHANI,1.0,matched
BHANDARA,MOHADI,51494.0,5818.2,3312.2,56.9,safe,202,ef85d916-58bb-41a4-af5e-49bb4860f1bb,MOHADI,1.0,matched
BHANDARA,PAUNI,64046.0,14969.2,5488.6,36.7,safe,202,d827836e-f2d6-49e3-b750-c9e7ce56fa18,LAKHANI,0.5,review
BHANDARA,SAKOLI,53420.0,6880.7,3590.1,52.2,safe,202,,no taluka candidate above cutoff,0.0,unmatched
BHANDARA,TUMSAR,72123.0,8215.6,3951.9,48.1,safe,202,e533669a-5121-4fdd-a945-525d0c62b7bc,TUMSAR,1.0,matched
BULDHANA,BULDHANA,60748.0,7567.0,6313.3,83.4,semi_critical,202,,no taluka candidate above cutoff,0.0,unmatched
BULDHANA,CHIKHALI,93581.0,10897.6,8393.6,77.0,semi_critical,202,d4b3de45-68e9-4ae9-99df-3354057ff541,CHIKHLI,0.933,matched
BULDHANA,DEULGAON RAJA,44866.0,5618.8,4342.0,77.3,semi_critical,203,03851ba1-5ed6-4c1c-ad7e-901cf3a72b58,DEULGAON RAJA,1.0,matched
BULDHANA,JALGAON,54218.0,5200.2,6029.1,115.9,over_exploited,203,3d067b8a-9371-4150-8a94-915658185eac,KHAMGAON,0.667,review
BULDHANA,KHAMGAON,96087.0,10098.1,6918.2,68.5,safe,203,3d067b8a-9371-4150-8a94-915658185eac,KHAMGAON,1.0,matched
BULDHANA,LONAR,57912.0,7345.1,4759.7,64.8,safe,203,7ea354d5-05b5-4db9-b953-71a8ac1035dc,LONAR,1.0,matched
BULDHANA,MALAKAPUR,44372.0,4806.5,3623.2,75.4,semi_critical,203,4ac0ffa9-1dfb-46c4-8f71-34871b91129d,MALKAPUR,0.941,matched
BULDHANA,MEHKAR,90285.0,10741.4,6605.6,61.5,safe,203,cf1965eb-bfe6-490d-8990-1d6deae77995,MEHKAR,1.0,matched
BULDHANA,MOTALA,56018.0,5379.6,4241.1,78.8,semi_critical,203,4ac0ffa9-1dfb-46c4-8f71-34871b91129d,MALKAPUR,0.571,review
BULDHANA,NANDURA,53625.0,4976.3,3944.6,79.3,semi_critical,203,86b46204-d0bc-4b3d-97cd-20cee7f75ee6,NANDURA,1.0,matched
BULDHANA,SANGRAMPUR,51627.0,4122.1,4743.1,115.1,over_exploited,203,2b5f3c16-e05c-4223-a802-cf6ff45205c0,SANGRAMPUR,1.0,matched
BULDHANA,SHEGAON,50979.0,3177.3,1821.3,57.3,safe,203,251fcf95-85b2-4524-8bce-ce0a2a576a24,SHEGAON,1.0,matched
BULDHANA,SINDKHEDRAJA,66297.0,8036.5,5956.8,74.1,semi_critical,203,dcac21c1-b8eb-4102-8825-673372a50c5a,SINDKHED RAJA,0.96,matched
CHANDRAPUR,BALLARPUR,43059.0,5749.5,1018.9,17.7,safe,203,342c524c-0730-4943-bd78-68a9cfe096ce,Ballarpur,1.0,matched
CHANDRAPUR,BHADRAVATI,142621.0,13208.3,2917.7,22.1,safe,203,1f045923-a6fe-470f-8ce3-40c7a9bb8fad,BHADRAVATI,1.0,matched
CHANDRAPUR,BRAHMAPURI,72363.0,7497.6,3287.9,43.9,safe,203,4e76207b-84de-4f7d-8f5e-d6fec009e4fa,BRAHMAPURI,1.0,matched
CHANDRAPUR,CHANDRAPUR,94061.0,9868.2,2111.9,21.4,safe,203,02029f17-74f4-4b2a-81c2-c8157dc1cc1e,CHANDRAPUR,1.0,matched
CHANDRAPUR,CHIMMUR,64777.0,5660.5,2521.9,44.6,safe,203,14f6c81a-35d7-439b-8dc7-fa84476e4c9e,CHIMUR,0.923,matched
CHANDRAPUR,GONDPIPRI,73430.0,7161.5,1817.9,25.4,safe,203,a6aaed93-c52d-4482-b77d-77ff33dc0c11,GONDPIPRI,1.0,matched
CHANDRAPUR,JIWATI,43178.0,3235.7,1038.9,32.1,safe,203,b3355e5d-5251-48c1-ac11-6251cf8a0dcb,JIWATI,1.0,matched
CHANDRAPUR,KORPANA,43159.0,2544.2,791.3,31.1,safe,203,9104fa77-0b03-4002-81dd-6cfe5cb7d0e5,KORPANA,1.0,matched
CHANDRAPUR,MUL,40572.0,5250.2,1683.8,32.1,safe,203,459d5714-d08b-47e8-adda-84cbe7c07afb,MUL,1.0,matched
CHANDRAPUR,NAGBHIND,65337.0,8682.1,2887.9,33.3,safe,203,8d8728fa-1ff3-4d10-a358-023964370c39,NAGBHIR,1.0,matched
CHANDRAPUR,POBHURNA,36463.0,4467.1,1236.1,27.7,safe,203,f2b9f219-eb2d-4b85-9cf5-93cd64e8024b,POMBURNA,1.0,matched
CHANDRAPUR,RAJURA,82548.0,7321.3,1958.5,26.8,safe,203,b371f51f-e723-4997-bb3c-8230e405565d,RAJURA,1.0,matched
CHANDRAPUR,SAWALI,59050.0,8303.7,2025.3,24.4,safe,203,f0ee0927-51c1-439e-9ef1-98a08830028a,SAOLI,1.0,matched
CHANDRAPUR,SINDEWALI,78649.0,10351.7,3337.9,32.2,safe,204,52ee1a3c-80d7-4062-b48c-1c5b4d3ec9d2,SINDEWAHI,1.0,matched
CHANDRAPUR,WARORA,108390.0,11600.9,3884.3,33.5,safe,204,d4e7308a-663d-4381-90f2-67981620d678,WARORA,1.0,matched
DHULE,DHULE,182626.0,18976.2,11396.0,60.1,safe,204,dcdba8de-12ed-432b-8f76-514061096f3f,DHULE,1.0,matched
DHULE,SAKRI,196767.0,19490.3,9654.0,49.5,safe,204,767cdfb2-0b71-4989-a53d-2b1fc0645490,SAKRI,1.0,matched
DHULE,SHIRPUR,130779.0,16344.7,7769.1,47.5,safe,204,d035c6e7-ae61-450e-9326-ca576db858aa,SHIRPUR,1.0,matched
DHULE,SINDKHEDA,131960.0,14096.2,6855.1,48.6,safe,204,d00df064-82c5-4c66-97f9-50ccc2eb31fc,SHINDKHEDE,1.0,matched
